,"Ip","Protocol","Src Port","Dst Port","Seq","Ack","Len"
"302","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,112498,0
"303","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,112498,1027,1399
"304","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,113897,0
"305","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,113897,1027,1399
"306","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,115296,0
"307","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,115296,1027,1399
"308","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,116695,0
"309","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,116695,1027,1399
"310","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,118094,0
"311","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,118094,1027,1399
"312","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,119493,0
"313","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,119493,1027,2798
"314","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,122291,0
"315","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,122291,1027,2835
"316","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,125126,0
"317","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,125126,1027,2761
"318","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,127887,0
"319","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,127887,1027,1399
"320","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,129286,0
"321","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,129286,1027,1399
"322","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,130685,0
"323","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,130685,1027,1399
"324","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,132084,0
"325","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,132084,1027,1399
"326","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,133483,0
"327","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,133483,1027,1399
"328","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,134882,0
"329","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,134882,1027,2798
"330","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,136342,0
"331","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,137680,0
"332","140.82.118.4,192.168.170.159","Transmission Control Protocol",443,42174,137680,1027,2872
"333","192.168.170.159,140.82.118.4","Transmission Control Protocol",42174,443,1027,140552,0
